profile,apid_hex,type,seq,len_total,mic,sent_bytes
HK_TLM_TINY,0x07F,TM,264,70,,70
CFDP_META,0x0B3,TC,265,144,,144
HK_TLM_TINY,0x07F,TM,265,70,,70
CFDP_META,0x0B3,TC,266,144,,144
HK_TLM_TINY,0x07F,TM,266,70,,70
CFDP_META,0x0B3,TC,267,144,,144
HK_TLM_TINY,0x07F,TM,267,70,,70
CFDP_META,0x0B3,TC,268,144,,144
HK_TLM_TINY,0x07F,TM,268,70,,70
CFDP_META,0x0B3,TC,269,144,,144
HK_TLM_TINY,0x07F,TM,269,70,,70
CFDP_META,0x0B3,TC,270,144,,144
HK_TLM_TINY,0x07F,TM,270,70,,70
CFDP_META,0x0B3,TC,271,144,,144
HK_TLM_TINY,0x07F,TM,271,70,,70
CFDP_META,0x0B3,TC,272,144,,144
HK_TLM_TINY,0x07F,TM,272,70,,70
CFDP_META,0x0B3,TC,273,144,,144
HK_TLM_TINY,0x07F,TM,273,70,,70
CFDP_META,0x0B3,TC,274,144,,144
HK_TLM_TINY,0x07F,TM,274,70,,70
CFDP_META,0x0B3,TC,275,144,,144
HK_TLM_TINY,0x07F,TM,275,70,,70
CFDP_META,0x0B3,TC,276,144,,144
HK_TLM_TINY,0x07F,TM,276,70,,70
CFDP_META,0x0B3,TC,277,144,,144
HK_TLM_TINY,0x07F,TM,277,70,,70
CFDP_META,0x0B3,TC,278,144,,144
HK_TLM_TINY,0x07F,TM,278,70,,70
CFDP_META,0x0B3,TC,279,144,,144
HK_TLM_TINY,0x07F,TM,279,70,,70
CFDP_META,0x0B3,TC,280,144,,144
HK_TLM_TINY,0x07F,TM,280,70,,70
CFDP_META,0x0B3,TC,281,144,,144
HK_TLM_TINY,0x07F,TM,281,70,,70
